iter	Logloss
0	0.6790804331
1	0.6668640175
2	0.6542614855
3	0.6419893047
4	0.6311547914
5	0.620589069
6	0.6108668247
7	0.6006672157
8	0.5909650575
9	0.5835291858
10	0.5745119268
11	0.5660434955
12	0.5589544794
13	0.5522827081
14	0.5442495963
15	0.5378184378
16	0.5296145506
17	0.5236945307
18	0.517506104
19	0.511329299
20	0.5053312029
21	0.4998214703
22	0.4947036314
23	0.4902703473
24	0.4856973531
25	0.4816320069
26	0.4760954455
27	0.4729062548
28	0.4683929682
29	0.4641950801
30	0.4600144619
31	0.4560881155
32	0.4517507446
33	0.4479349316
34	0.444850798
35	0.4405453064
36	0.4364803213
37	0.4326850429
38	0.4298751913
39	0.426740205
40	0.4241532852
41	0.4212172563
42	0.4178025818
43	0.4146407037
44	0.4115012411
45	0.4098917679
46	0.4075629442
47	0.4045667413
48	0.402493821
49	0.4002929472
50	0.3977603836
51	0.3956296149
52	0.3938876214
53	0.3911373819
54	0.3893367505
55	0.3863627745
56	0.3846828796
57	0.3828063533
58	0.3801756015
59	0.3779908869
60	0.3763466288
61	0.3745443449
62	0.3729522627
63	0.3711581843
64	0.3692414833
65	0.3675752238
66	0.3659391841
67	0.3643184203
68	0.3618684509
69	0.3604251435
70	0.3585455538
71	0.3571938879
72	0.3547805018
73	0.3533680762
74	0.3515218347
75	0.3498923935
76	0.3488188702
77	0.3471871281
78	0.3454690499
79	0.3440051533
80	0.3424643156
81	0.3412954404
82	0.3391607438
83	0.337454124
84	0.3357576225
85	0.3346420941
86	0.3332359624
87	0.3318290157
88	0.3308629998
89	0.3291965018
90	0.3276180951
91	0.3261121218
92	0.3249181098
93	0.3234999621
94	0.32285118
95	0.3222515438
96	0.3211916408
97	0.319796505
98	0.3186385592
99	0.3175496457
100	0.3165654792
101	0.315620769
102	0.3146333373
103	0.3129366548
104	0.3121163304
105	0.3107178285
106	0.3096640954
107	0.3084250028
108	0.3073653865
109	0.3059165701
110	0.3044102818
111	0.3032473803
112	0.3019907213
113	0.3005351542
114	0.2998155041
115	0.2985598861
116	0.2972467866
117	0.2960566622
118	0.2952618826
119	0.2943116422
120	0.2931315643
121	0.2923579728
122	0.2915007168
123	0.2906298933
124	0.2896812183
125	0.2887752681
126	0.2875679583
127	0.2866142866
128	0.2858169066
129	0.2849353618
130	0.2839130206
131	0.2825804931
132	0.2815432957
133	0.2808301324
134	0.2797580327
135	0.2791457908
136	0.2782891481
137	0.277745532
138	0.2771713369
139	0.2764354432
140	0.2754215506
141	0.2745860885
142	0.2739090923
143	0.2726028617
144	0.2718431115
145	0.2710196879
146	0.2701399028
147	0.2692809925
148	0.2684262419
149	0.2678499632
150	0.2672997011
151	0.266419063
152	0.2657310626
153	0.2647044853
154	0.2638999001
155	0.2629318908
156	0.2620792918
157	0.2609691792
158	0.2601525591
159	0.2591857298
160	0.2586878942
161	0.2579003165
162	0.2572761959
163	0.2567821978
164	0.2561676438
165	0.2555934197
166	0.2551682398
167	0.2545471527
