iter	Logloss
0	0.6415788799
1	0.607685558
2	0.5805006985
3	0.5488316192
4	0.5233170026
5	0.5013520779
6	0.4839650086
7	0.4713743733
8	0.4603015816
9	0.4522914354
10	0.4424252021
11	0.4333996289
12	0.4248952538
13	0.4174557853
14	0.407646106
15	0.4032540238
16	0.399412001
17	0.3926981888
18	0.3875694709
19	0.3830592977
20	0.3777809244
21	0.373624572
22	0.3710306891
23	0.3686732488
24	0.3649139692
25	0.361771073
26	0.3594267359
27	0.3556126781
28	0.3528361833
29	0.3508207108
30	0.3480727331
31	0.3432084913
32	0.3404035099
33	0.3374104559
34	0.334982468
35	0.3318543104
36	0.3306282721
37	0.3282477323
38	0.3268598763
39	0.325728573
40	0.3242358701
41	0.3221235888
42	0.3196750088
43	0.3178919021
44	0.3161936797
45	0.3148066203
46	0.3135746268
47	0.3125077512
48	0.3107685014
49	0.3089618709
50	0.3072756295
51	0.3058406447
52	0.3047955687
53	0.3030293212
54	0.3016054577
55	0.299010793
56	0.2974247466
57	0.2960136025
58	0.2949804866
59	0.2930159789
60	0.2915873125
61	0.2896325383
62	0.2887623982
63	0.2879733335
64	0.2867537595
65	0.2859273663
66	0.2847885841
67	0.2830307973
68	0.2828236512
69	0.2815348668
70	0.279381078
71	0.2785936707
72	0.277422831
73	0.2759845077
74	0.2744218175
75	0.2733874742
76	0.2720249055
77	0.271194919
78	0.2699661006
79	0.2686318023
80	0.2678048958
81	0.2667547705
82	0.2654580786
83	0.264194914
84	0.2631258167
85	0.2615811986
86	0.2604254375
87	0.2593185465
88	0.2585475179
89	0.2577289137
90	0.2562952151
91	0.2553232343
92	0.2542732946
93	0.25306787
94	0.2523128712
95	0.251362306
96	0.2503067944
97	0.2492451688
98	0.2492232842
99	0.2483415004
100	0.2474820209
101	0.2465267484
102	0.2455926582
103	0.2448219208
104	0.2443370316
105	0.2436229373
106	0.242816398
107	0.2421274474
108	0.2409811583
109	0.2402190556
110	0.2395312885
111	0.2387269977
112	0.2380723826
113	0.237127376
114	0.235885774
115	0.2351876555
116	0.2345470346
117	0.2332130231
118	0.2321650367
119	0.2313029044
120	0.2306648974
121	0.2297067378
122	0.2285057109
123	0.2274630092
124	0.226678775
125	0.2257305837
126	0.2245951254
127	0.2241503977
128	0.2236343007
129	0.223031794
130	0.2223060753
131	0.2217316614
132	0.2209845351
133	0.2204412933
134	0.2193944265
135	0.2189213907
136	0.2181400279
137	0.2173409411
138	0.2166590021
139	0.2157441345
140	0.2150456371
141	0.2144368831
142	0.2137407417
143	0.212783661
144	0.2119186264
145	0.2113809731
146	0.2107965589
147	0.2101858017
148	0.2094909536
149	0.2087767258
150	0.2078555858
151	0.2067922683
152	0.2059114031
153	0.2054162791
154	0.2049515788
155	0.2042749262
156	0.2034356438
157	0.20296352
158	0.2020083937
159	0.2014952766
160	0.2008278597
161	0.2003316672
162	0.1998274519
163	0.1990824949
164	0.1982629196
165	0.1976208757
166	0.1972031683
167	0.1963334404
168	0.1957328377
169	0.195031715
170	0.1946544602
171	0.1939280069
172	0.1934568475
173	0.1929731191
174	0.1925183903
175	0.1919614143
176	0.1913515899
177	0.1908667253
178	0.1902069164
179	0.189220421
180	0.1884313703
181	0.1880438613
182	0.187607723
183	0.1867902673
184	0.1861912598
185	0.185511076
186	0.184933649
187	0.1844242542
188	0.1834397355
189	0.1829100482
190	0.1823002416
191	0.1817684449
192	0.1812358644
193	0.1806532806
194	0.1802417824
195	0.1797193685
196	0.1792139345
197	0.1784441495
198	0.1778543122
199	0.1772360483
200	0.1766221846
201	0.1760141679
202	0.1755160037
203	0.17481899
204	0.1739106427
205	0.1734123155
206	0.1729487764
207	0.172640485
208	0.1720367717
209	0.1714995432
210	0.1709842614
211	0.1703250525
212	0.1697513184
213	0.1690720383
214	0.1684167897
215	0.1679750009
216	0.1675216595
217	0.166788014
218	0.1663874292
219	0.1659207301
220	0.1652415735
221	0.1648704256
222	0.1643891745
223	0.1639253543
224	0.1632365279
225	0.1628321311
226	0.1622883652
227	0.1618571717
228	0.1614383626
229	0.1607750856
230	0.1604995789
231	0.1597754604
232	0.1592149329
233	0.158674144
234	0.1583173944
235	0.1578812437
236	0.1574456113
237	0.1571473772
238	0.1567416129
239	0.1564320601
240	0.1560221115
241	0.1557861474
242	0.1553319947
243	0.1550673693
244	0.1547788711
245	0.154230333
246	0.153902328
247	0.1535421421
248	0.1530973465
249	0.1525886645
250	0.1521259119
251	0.1515280376
252	0.1511188585
253	0.1505606256
254	0.1503456565
255	0.1499284118
256	0.1495368536
257	0.1489184851
258	0.1484081999
259	0.1480621568
260	0.1477581003
261	0.14742585
262	0.146997278
263	0.1467983656
264	0.1464998031
265	0.145592318
266	0.1453475893
267	0.1449122298
268	0.1444478232
269	0.1441727674
270	0.1438452422
271	0.1434732679
272	0.1428457399
273	0.1422672172
274	0.1419023475
275	0.1415908323
276	0.1413072469
277	0.1408913756
278	0.1405555684
279	0.140179967
280	0.1397899725
281	0.1393042378
282	0.1389098466
283	0.1386117276
284	0.1381845583
285	0.1376207961
286	0.1373054664
287	0.1368565126
288	0.1365737805
289	0.1362056406
290	0.1359469388
291	0.1357187143
292	0.1350617704
293	0.1347173187
294	0.1344442388
295	0.134088281
296	0.1338140441
297	0.1335063663
298	0.1332349946
299	0.1328905703
300	0.1326376038
301	0.1322676963
302	0.1319876825
303	0.1313409903
304	0.1310093549
305	0.1307541378
306	0.1304462991
307	0.1301389532
308	0.1296719872
309	0.1293869686
310	0.1289016611
311	0.1287158957
312	0.1283957819
313	0.1281170893
314	0.1278255183
315	0.1275425557
316	0.1273697567
317	0.1271251719
318	0.1267511983
319	0.1265083686
320	0.1262657902
321	0.1261247051
322	0.1259001123
323	0.1256421293
324	0.1254051825
325	0.1252123466
326	0.1247978197
327	0.1244806889
328	0.1241308859
329	0.1238916502
330	0.1235180818
331	0.123289248
332	0.1230605692
333	0.1227487064
334	0.122476413
335	0.1221465796
336	0.122004124
337	0.1217939528
338	0.1216254942
339	0.1212068385
340	0.1209849713
341	0.1205505506
342	0.1202286381
343	0.119911947
344	0.11972654
