iter	Passed	Remaining
399	74138	111208
400	74350	111061
401	74548	110895
402	74786	110787
403	75048	110715
404	75252	110555
405	75464	110409
406	75686	110275
407	75994	110265
408	76230	110152
409	76462	110031
410	76663	109866
411	76864	109699
412	77114	109603
413	77308	109427
414	77513	109265
415	77758	109160
416	77993	109040
417	78216	108904
418	78431	108755
419	78626	108580
420	78842	108432
421	79112	108358
422	79321	108199
423	79523	108032
424	79750	107897
425	79989	107778
426	80206	107631
427	80411	107465
428	80622	107308
429	80838	107157
430	81103	107071
431	81289	106881
432	81501	106724
433	81729	106587
434	81967	106463
435	82198	106329
436	82412	106174
437	82623	106015
438	82840	105862
439	83083	105742
440	83310	105602
441	83521	105441
442	83732	105279
443	83993	105180
444	84214	105031
445	84411	104851
446	84639	104710
447	84842	104537
448	85088	104417
449	85304	104261
450	85495	104073
451	85691	103891
452	85926	103756
453	86168	103629
454	86364	103447
455	86589	103299
456	86819	103157
457	87066	103035
458	87298	102894
459	87504	102722
460	87714	102555
461	87961	102431
462	88197	102293
463	88402	102119
464	88615	101955
465	88851	101817
466	89135	101732
467	89366	101587
468	89570	101411
469	89781	101242
470	90061	101151
471	90261	100970
472	90478	100807
473	90705	100656
474	90928	100499
475	91161	100353
476	91378	100190
477	91609	100042
478	91825	99876
479	92070	99743
480	92291	99582
481	92495	99404
482	92709	99235
483	92942	99086
484	93168	98931
485	93373	98752
486	93587	98584
487	93796	98408
488	94043	98274
489	94252	98099
490	94462	97925
491	94671	97750
492	94904	97599
493	95127	97437
494	95335	97261
495	95564	97105
496	95768	96925
497	96009	96780
498	96245	96631
499	96462	96462
500	96675	96289
501	96906	96134
502	97136	95978
503	97345	95800
504	97570	95638
505	97797	95478
506	98053	95345
507	98271	95176
508	98482	95000
509	98705	94834
510	98950	94690
511	99248	94596
512	99546	94501
513	99815	94377
514	100474	94621
515	100673	94430
516	100835	94204
517	101051	94028
518	101241	93828
519	101451	93647
520	101617	93425
521	102490	93851
522	102725	93690
523	102961	93529
524	103175	93349
525	103398	93176
526	103606	92989
527	103816	92805
528	104027	92621
529	104225	92426
530	104457	92261
531	104659	92068
532	104887	91899
533	105168	91776
534	105358	91573
535	105574	91393
536	105763	91189
537	105967	90997
538	106169	90805
539	106356	90599
540	106546	90397
541	106752	90207
542	106956	90017
543	107145	89813
544	107360	89631
545	107554	89431
546	107760	89241
547	107970	89056
548	108165	88856
549	108371	88667
550	108565	88468
551	108775	88281
552	108990	88099
553	109201	87912
554	109398	87715
555	109600	87522
556	109816	87340
557	110024	87152
558	110208	86944
559	110414	86754
560	110609	86555
561	110807	86358
562	111024	86177
563	111204	85966
564	111390	85760
565	111595	85569
566	111783	85365
567	111990	85175
568	112177	84971
569	112368	84769
570	112576	84579
571	112768	84379
572	113010	84215
573	113226	84032
574	113408	83823
575	113610	83629
576	113816	83439
577	114007	83237
578	114204	83039
579	114413	82850
580	114604	82649
581	114818	82464
582	115034	82280
583	115216	82072
584	115420	81879
585	115634	81694
586	115829	81495
587	116033	81302
588	116230	81105
589	116427	80907
590	116609	80699
591	116800	80497
592	117000	80302
593	117188	80098
594	117379	79897
595	117571	79696
596	117774	79502
597	117975	79307
598	118160	79102
599	118365	78910
600	118559	78710
601	118755	78512
602	118964	78323
603	119130	78105
604	119328	77908
605	119528	77712
606	119712	77507
607	119932	77324
608	120123	77123
609	120321	76926
610	120504	76720
611	120697	76520
612	120916	76337
613	121106	76135
614	121286	75927
615	121489	75733
616	121685	75535
617	121898	75348
618	122113	75161
619	122287	74950
620	122471	74744
621	122685	74557
622	122885	74362
623	123092	74171
624	123271	73963
625	123465	73763
626	123673	73572
627	123866	73373
628	124094	73194
629	124268	72982
630	124465	72785
631	124665	72590
632	124870	72397
633	125077	72205
634	125247	71992
635	125434	71789
636	125639	71596
637	125832	71397
638	126043	71207
639	126234	71006
640	126423	70805
641	126627	70611
642	126822	70413
643	127041	70227
644	127216	70018
645	127402	69814
646	127603	69619
647	127795	69419
648	128012	69233
649	128223	69043
650	128412	68841
651	128596	68637
652	128791	68439
653	128996	68245
654	129185	68044
655	129402	67857
656	129591	67655
657	129793	67461
658	130019	67278
659	130202	67074
660	130391	66872
661	130585	66673
662	130784	66477
663	131001	66289
664	131175	66080
665	131393	65893
666	131643	65723
667	131832	65521
668	132055	65336
669	132227	65126
670	132429	64932
671	132622	64732
672	132814	64532
673	133033	64345
674	133210	64138
675	133393	63934
676	133610	63746
677	133808	63549
678	134051	63373
679	134235	63169
680	134443	62977
681	134635	62777
682	134842	62584
683	135053	62393
684	135238	62190
685	135433	61991
686	135623	61790
687	135841	61602
688	136057	61413
689	136270	61223
690	136469	61026
691	136680	60834
692	136888	60641
693	137094	60448
694	137293	60250
695	137482	60049
696	137686	59855
697	137919	59672
698	138120	59476
699	138316	59278
700	138525	59085
701	138726	58889
702	138929	58694
703	139114	58491
704	139297	58287
705	139474	58081
706	139673	57884
707	139889	57694
708	140094	57500
709	140263	57290
710	140470	57097
711	140659	56896
712	140865	56701
713	141085	56513
714	141269	56310
715	141450	56106
716	141646	55907
717	141867	55719
718	142073	55525
719	142254	55321
720	142437	55117
721	142636	54920
722	142830	54721
723	143036	54527
724	143231	54329
725	143409	54124
726	143619	53931
727	143817	53734
728	144033	53543
729	144229	53345
730	144417	53143
731	144615	52946
732	144810	52748
733	145023	52556
734	145202	52351
735	145395	52152
736	145583	51951
737	145777	51752
738	145985	51559
739	146175	51359
740	146841	51324
741	147135	51160
742	147322	50958
743	147464	50740
744	147643	50535
745	148293	50491
746	148502	50295
747	148710	50100
748	148926	49907
749	149134	49711
750	149350	49518
751	149557	49322
752	149779	49130
753	149985	48934
754	150185	48735
755	150385	48537
756	150588	48339
757	150776	48137
758	150968	47936
759	151162	47735
760	151363	47537
761	151555	47336
762	151743	47133
763	151953	46938
764	152129	46732
765	152329	46534
766	152531	46336
767	152719	46134
768	152938	45941
769	153130	45740
770	153329	45541
771	153528	45342
772	153739	45147
773	153932	44946
774	154116	44743
775	154315	44544
776	154520	44347
777	154718	44148
778	154916	43949
779	155093	43744
780	155291	43545
781	155482	43344
782	155686	43146
783	155903	42953
784	156079	42747
785	156279	42549
786	156479	42350
787	156685	42154
788	156895	41958
789	157085	41756
790	157286	41558
791	157501	41363
792	157687	41161
793	157895	40965
794	158081	40763
795	158267	40560
796	158458	40360
797	158657	40161
798	158870	39966
799	159055	39763
800	159236	39560
801	159424	39359
802	159623	39160
803	159817	38960
804	160019	38762
805	160203	38560
806	160411	38363
807	160604	38163
808	160799	37963
809	160999	37765
810	161185	37563
811	161380	37363
812	161567	37162
813	161767	36964
814	161967	36765
815	162149	36563
816	162341	36362
817	162532	36162
818	162718	35960
819	162925	35764
820	163089	35557
821	163277	35356
822	163462	35155
823	163659	34956
824	163856	34757
